x,z
0.0,0.0
10.0,2.2116881375587223
20.0,4.176569271796628
30.0,5.691771512908337
40.0,6.634148947748916
50.0,6.981298973208293
60.0,6.813924869063118
70.0,6.299132172961066
80.0,5.657793332739484
90.0,5.122077360209479
100.0,4.891068625720668
110.0,5.09275151614782
120.0,5.759449869404782
130.0,6.821302970949177
140.0,8.119000024844299
150.0,9.433407645530309
160.0,10.526577641449723
170.0,11.18650087323087
180.0,11.267272087462763
190.0,10.717180829646654
200.0,9.58948668163196
210.0,8.033855808393824
220.0,6.270031255406938
230.0,4.548612627512417
240.0,3.106217098384338
250.0,2.123337283705423
260.0,1.6927082042068822
270.0,1.804039043679139
280.0,2.3479197509463146
290.0,3.138144477926947
300.0,3.948267321659943
310.0,4.555558436444585
320.0,4.784152908872958
330.0,4.539336803058189
340.0,3.826566171226942
350.0,2.7516582665203053
360.0,1.5021005513881707
370.0,0.31293986908751315
380.0,-0.5764131028304975
390.0,-0.9664348760159784
400.0,-0.7345662118064014
410.0,0.14178318541671198
420.0,1.5805860898060171
430.0,3.409777227718319
440.0,5.39835857439184
450.0,7.298256733744081
460.0,8.889161287187335
470.0,10.018021372510457
480.0,10.625874475131786
490.0,10.75704097196022
500.0,10.549001266772658
